token_address,token_symbol,latest_timestamp,status,age_minutes,earlyReturn_percent,riseSpeed,currentPrice,launchPrice,collectionPrice,holders,txVolumeU24h,tvl,fdv,marketCap,highestPrice,drawdownFromHighest_percent,buyPrice,profitPercent,holdDuration_seconds,total_records
0x16f998133cf78a23a00f3f9b73af1286f8bc4444,后空翻,2026-02-16T12:47:12.062+00:00,,29.98,8.21,0.27,0.0000041577,0.0000038421,0.0000041577,2,321.47351,613.43715,4157.7,4157.7,0.0000041577,0.00,,,,35
0xd3ddcc14196e137bf9d8d942867e2b00741d4444,动起来,2026-02-16T12:46:52.316+00:00,,5.76,-7.04,-1.22,0.0000036059,0.0000038789,0.0000041276,2,8.48902,1.23966,3605.9,3605.9,0.0000041276,-12.64,,,,15
0xb6bd294c053fc7d2074cebe829a11672bbeb4444,2026,2026-02-16T12:46:52.294+00:00,,5.60,-13.48,-2.41,0.0000036054,0.0000041672,0.000003606,1,,,3605.4,3605.4,0.000003606,-0.02,,,,15
0x6b3a2a4549eac2a3051a7aca8f1276d9f1314444,我要闪耀,2026-02-16T12:46:52.262+00:00,,5.54,-0.14,-0.02,0.000003592,0.0000035969,0.000003592,1,,,3592,3592,0.000003592,0.00,,,,15
0x255a1d4d1e2c6e050cfbdb2394b84c610f384444,鸡气人,2026-02-16T12:46:52.122+00:00,,30.00,5.05,0.17,0.0000046008,0.0000043796,0.0000049858,5,4563.89526,787.35079,4600.8,4600.8,0.0000049858,-7.72,,,,34
0xca5151e6d43c2f37e8342acf1f949e68298f4444,鸡气人,2026-02-16T12:46:12.094+00:00,,30.23,14931.22,493.84,0.00059468,0.0000039563,0.000054476,1920,1723717.49109,81160.00823,594680,594680,0.00069115,-13.96,,,,32
0xe922980e81770ae6daca495c8d62b56142c84444,机器人,2026-02-16T12:46:12.047+00:00,,30.13,54.37,1.80,0.0000056656,0.0000036702,0.0000038026,25,5947.30546,2001.69436,5665.6,5665.6,0.0000080182,-29.34,,,,32
0x7ca56823eebf70f384c788356c0cf844e00f4444,豆包,2026-02-16T12:45:12.046+00:00,,30.18,9.36,0.31,0.0000039526,0.0000036144,0.0000037307,9,353.87255,462.23165,3952.6,3952.6,0.0000039526,0.00,,,,29
0x75dae169c7a67af83720c469cdc947abc1804444,鹿,2026-02-16T12:43:12.63+00:00,,6.01,-7.14,-1.19,0.0000035935,0.00000387,0.0000035935,2,,24.71573,3593.5,3593.5,0.0000035935,0.00,,,,15
0xefd2da242852e29246a3fba4fa46873b35a34444,1场春晚改变你的人生,2026-02-16T12:43:12.539+00:00,,5.93,-6.79,-1.15,0.0000036077,0.0000038704,0.0000036077,1,,,3607.7,3607.7,0.0000036077,0.00,,,,15
0x8eb97a4833d83b2d5d1aa05dc38b688b0e7d4444,4chan chan,2026-02-16T12:43:12.501+00:00,,5.89,0.01,0.00,0.0000039863,0.0000039859,0.0000039863,1,,,3986.3,3986.3,0.0000039863,0.00,,,,15
0xb53f894d96b712be8c20acd8e422e87f8ced4444,SCP-166,2026-02-16T12:43:12.456+00:00,,5.87,-5.63,-0.96,0.000003788,0.0000040141,0.000003788,1,,,3788,3788,0.000003788,0.00,,,,15
0xe8da0529135981a964bc650a9cb937e89b2b4444,4chan chan,2026-02-16T12:43:12.418+00:00,,5.86,0.04,0.01,0.0000040611,0.0000040594,0.0000040611,1,,,4061.1,4061.1,0.0000040611,0.00,,,,15
0xd381987b8cc3ce0c57353fdc8eecc7743083ffff,最难忘的今宵,2026-02-16T12:43:11.968+00:00,,30.00,3229.97,107.67,0.00011865,0.0000035631,0.000003562,596,36020.00194,32433.50615,118650,118650,0.00013532,-12.32,,,,23
0x2ce117618e8239d6fbf628b79521d0b1703d4444,金鱼,2026-02-16T12:42:12.759+00:00,,5.95,-1.92,-0.32,0.0000037981,0.0000038726,0.0000037981,1,,,3798.1,3798.1,0.0000037981,0.00,,,,15
0x37ac6bff4067d366057ca30f2bd8f427a7f44444,贺1神,2026-02-16T12:39:53.173+00:00,,6.02,-7.02,-1.17,0.0000035956,0.000003867,0.0000036177,2,1.04995,12.2001,3595.6,3595.6,0.0000036177,-0.61,,,,14
0x311df83e6dd9b6de8607f5d4e9ad7aa5e35d4444,开端,2026-02-16T12:39:53.127+00:00,,5.97,-6.33,-1.06,0.0000035946,0.0000038374,0.0000035946,1,,,3594.6,3594.6,0.0000035946,0.00,,,,14
0x449ee53c040a9ca0f22f89a62984e2c34b184444,花神,2026-02-16T12:39:53.092+00:00,,5.95,-0.23,-0.04,0.0000036288,0.000003637,0.0000037414,1,47.78122,,3628.8,3628.8,0.0000037414,-3.01,,,,14
0xb64d2887749a7b66ff19302111007f95058f4444,中囯智造,2026-02-16T12:39:53.043+00:00,,5.88,-5.00,-0.85,0.0000037006,0.0000038953,0.000003737,2,,103.8108,3700.6,3700.6,0.000003737,-0.97,,,,14
0x9addac7cf7f9cc5e69431f3266528936a67c4444,TTTEST,2026-02-16T12:39:52.997+00:00,,5.88,1.76,0.30,0.0000036479,0.0000035849,0.0000036479,3,,12.37016,3647.9,3647.9,0.0000036479,0.00,,,,14
0xdd066c31d2ef6abe719bb5cda15ef024f1e84444,花神,2026-02-16T12:39:52.946+00:00,,5.73,-7.30,-1.27,0.0000035835,0.0000038659,0.0000035835,1,,,3583.5,3583.5,0.0000035835,0.00,,,,14
0xd767cc2f29a1135e126fa41907c4a2a41feb4444,梅花花神,2026-02-16T12:39:52.84+00:00,,5.68,0.10,0.02,0.0000038698,0.0000038659,0.0000038698,1,,,3869.8,3869.8,0.0000038698,0.00,,,,14
